,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,0.0,0.0,0,1,0.0,5849,0.0,146.41216216216216,360.0,1.0,2,1
1,LP001003,0.0,1.0,1,1,0.0,4583,1508.0,128.0,360.0,1.0,0,0
2,LP001005,0.0,1.0,0,1,1.0,3000,0.0,66.0,360.0,1.0,2,1
3,LP001006,0.0,1.0,0,0,0.0,2583,2358.0,120.0,360.0,1.0,2,1
4,LP001008,0.0,0.0,0,1,0.0,6000,0.0,141.0,360.0,1.0,2,1
5,LP001011,0.0,1.0,2,1,1.0,5417,4196.0,267.0,360.0,1.0,2,1
6,LP001013,0.0,1.0,0,0,0.0,2333,1516.0,95.0,360.0,1.0,2,1
7,LP001014,0.0,1.0,3,1,0.0,3036,2504.0,158.0,360.0,0.0,1,0
8,LP001018,0.0,1.0,2,1,0.0,4006,1526.0,168.0,360.0,1.0,2,1
9,LP001020,0.0,1.0,1,1,0.0,12841,10968.0,349.0,360.0,1.0,1,0
10,LP001024,0.0,1.0,2,1,0.0,3200,700.0,70.0,360.0,1.0,2,1
11,LP001027,0.0,1.0,2,1,0.0,2500,1840.0,109.0,360.0,1.0,2,1
12,LP001028,0.0,1.0,2,1,0.0,3073,8106.0,200.0,360.0,1.0,2,1
13,LP001029,0.0,0.0,0,1,0.0,1853,2840.0,114.0,360.0,1.0,0,0
14,LP001030,0.0,1.0,2,1,0.0,1299,1086.0,17.0,120.0,1.0,2,1
15,LP001032,0.0,0.0,0,1,0.0,4950,0.0,125.0,360.0,1.0,2,1
16,LP001034,0.0,0.0,1,0,0.0,3596,0.0,100.0,240.0,1.0,2,1
17,LP001036,1.0,0.0,0,1,0.0,3510,0.0,76.0,360.0,0.0,2,0
18,LP001038,0.0,1.0,0,0,0.0,4887,0.0,133.0,360.0,1.0,0,0
19,LP001041,0.0,1.0,0,1,0.0,2600,3500.0,115.0,342.0,1.0,2,1
20,LP001043,0.0,1.0,0,0,0.0,7660,0.0,104.0,360.0,0.0,2,0
21,LP001046,0.0,1.0,1,1,0.0,5955,5625.0,315.0,360.0,1.0,2,1
22,LP001047,0.0,1.0,0,0,0.0,2600,1911.0,116.0,360.0,0.0,1,0
23,LP001050,0.0,1.0,2,0,0.0,3365,1917.0,112.0,360.0,0.0,0,0
24,LP001052,0.0,1.0,1,1,0.0,3717,2925.0,151.0,360.0,1.0,1,0
25,LP001066,0.0,1.0,0,1,1.0,9560,0.0,191.0,360.0,1.0,1,1
26,LP001068,0.0,1.0,0,1,0.0,2799,2253.0,122.0,360.0,1.0,1,1
27,LP001073,0.0,1.0,2,0,0.0,4226,1040.0,110.0,360.0,1.0,2,1
28,LP001086,0.0,0.0,0,0,0.0,1442,0.0,35.0,360.0,1.0,2,0
29,LP001087,1.0,0.0,2,1,0.0,3750,2083.0,120.0,360.0,1.0,1,1
30,LP001091,0.0,1.0,1,1,0.0,4166,3369.0,201.0,360.0,1.0,2,0
31,LP001095,0.0,0.0,0,1,0.0,3167,0.0,74.0,360.0,1.0,2,0
32,LP001097,0.0,0.0,1,1,1.0,4692,0.0,106.0,360.0,1.0,0,0
33,LP001098,0.0,1.0,0,1,0.0,3500,1667.0,114.0,360.0,1.0,1,1
34,LP001100,0.0,0.0,3,1,0.0,12500,3000.0,320.0,360.0,1.0,0,0
35,LP001106,0.0,1.0,0,1,0.0,2275,2067.0,146.41216216216216,360.0,1.0,2,1
36,LP001109,0.0,1.0,0,1,0.0,1828,1330.0,100.0,342.0,0.0,2,0
37,LP001112,1.0,1.0,0,1,0.0,3667,1459.0,144.0,360.0,1.0,1,1
38,LP001114,0.0,0.0,0,1,0.0,4166,7210.0,184.0,360.0,1.0,2,1
39,LP001116,0.0,0.0,0,0,0.0,3748,1668.0,110.0,360.0,1.0,1,1
40,LP001119,0.0,0.0,0,1,0.0,3600,0.0,80.0,360.0,1.0,2,0
41,LP001120,0.0,0.0,0,1,0.0,1800,1213.0,47.0,360.0,1.0,2,1
42,LP001123,0.0,1.0,0,1,0.0,2400,0.0,75.0,360.0,1.0,2,1
43,LP001131,0.0,1.0,0,1,0.0,3941,2336.0,134.0,360.0,1.0,1,1
44,LP001136,0.0,1.0,0,0,1.0,4695,0.0,96.0,342.0,1.0,2,1
45,LP001137,1.0,0.0,0,1,0.0,3410,0.0,88.0,342.0,1.0,2,1
46,LP001138,0.0,1.0,1,1,0.0,5649,0.0,44.0,360.0,1.0,2,1
47,LP001144,0.0,1.0,0,1,0.0,5821,0.0,144.0,360.0,1.0,2,1
48,LP001146,1.0,1.0,0,1,0.0,2645,3440.0,120.0,360.0,0.0,2,0
49,LP001151,1.0,0.0,0,1,0.0,4000,2275.0,144.0,360.0,1.0,1,1
50,LP001155,1.0,1.0,0,0,0.0,1928,1644.0,100.0,360.0,1.0,1,1
51,LP001157,1.0,0.0,0,1,0.0,3086,0.0,120.0,360.0,1.0,1,1
52,LP001164,1.0,0.0,0,1,0.0,4230,0.0,112.0,360.0,1.0,1,0
53,LP001179,0.0,1.0,2,1,0.0,4616,0.0,134.0,360.0,1.0,2,0
54,LP001186,1.0,1.0,1,1,1.0,11500,0.0,286.0,360.0,0.0,2,0
55,LP001194,0.0,1.0,2,1,0.0,2708,1167.0,97.0,360.0,1.0,1,1
56,LP001195,0.0,1.0,0,1,0.0,2132,1591.0,96.0,360.0,1.0,1,1
57,LP001197,0.0,1.0,0,1,0.0,3366,2200.0,135.0,360.0,1.0,0,0
58,LP001198,0.0,1.0,1,1,0.0,8080,2250.0,180.0,360.0,1.0,2,1
59,LP001199,0.0,1.0,2,0,0.0,3357,2859.0,144.0,360.0,1.0,2,1
